pmcid,pmid,doi,title,journal,publication_year,license,count,females_count,males_count,n_groups,healthy_count,patient_count,unknown_count
7998905,33801568.0,10.3390/brainsci11030317,The Effect of Centralized Financial and Social Incentives on Cooperative Behavior and Its Underlying Neural Mechanisms,Brain Sci,2021,https://creativecommons.org/licenses/by/4.0/,56.0,43.0,13.0,1,,,56.0
3916321,24516545.0,10.1371/journal.pone.0087114,Regional Homogeneity Changes in Hemodialysis Patients with End Stage Renal Disease: In Vivo Resting-State Functional MRI Study,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,40.0,10.0,30.0,2,20.0,20.0,
3417167,22905026.0,10.3389/fnhum.2012.00233,Naturalistic fMRI Mapping Reveals Superior Temporal Sulcus as the Hub for the Distributed Brain Network for Social Perception,Front Hum Neurosci,2012,http://www.frontiersin.org/licenseagreement,19.0,3.0,16.0,1,19.0,,
5074002,27843514.0,10.2174/1874440001610010102,Attentional Networks in Adolescents with High-functioning Autism: An fMRI Investigation,Open Neuroimag J,2016,https://creativecommons.org/licenses/by-nc/4.0/legalcode,6.0,,,1,,,6.0
4401664,25885533.0,10.1371/journal.pone.0119862,Action Processing and Mirror Neuron Function in Patients with Amyotrophic Lateral Sclerosis: An fMRI Study,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/,37.0,,,2,18.0,19.0,
2570483,17448689.0,10.1016/j.neuroimage.2007.03.005,Differentiation between external and internal cuing: An fMRI study comparing tracing with drawing,Neuroimage,2007,https://creativecommons.org/licenses/by/3.0/,10.0,5.0,5.0,1,10.0,,
7702236,32677342.0,10.1111/cns.13433,Disrupted default mode network dynamics in recuperative patients of herpes zoster pain,CNS Neurosci Ther,2020,http://creativecommons.org/licenses/by/4.0/,60.0,,,2,30.0,30.0,
3299676,22427852.0,10.1371/journal.pone.0032532,Large-Scale Brain Networks in Board Game Experts: Insights from a Domain-Related Task and Task-Free Resting State,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
3345356,22574280.0,10.1002/brb3.31,Enhancement and suppression in a lexical interference fMRI-paradigm,Brain Behav,2012,,4.0,,,1,,,4.0
6204485,30203082.0,10.1093/scan/nsy080,Oxytocin reduces neural activation in response to infant faces in nulliparous young women,Soc Cogn Affect Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,23.0,,,1,23.0,,
8741989,34997113.0,10.1038/s41598-021-04152-4,Parental education is associated with differential engagement of neural pathways during inhibitory control,Sci Rep,2022,https://creativecommons.org/licenses/by/4.0/,81.0,,,1,,,81.0
6616568,30421271.0,10.1007/s12264-018-0307-6,Independent Component Analysis and Graph Theoretical Analysis in Patients with Narcolepsy,Neurosci Bull,2018,http://creativecommons.org/licenses/by/4.0/,56.0,,,2,30.0,26.0,
8248357,34220436.0,10.3389/fnins.2021.681859,Inferior Frontal Gyrus-Based Resting-State Functional Connectivity and Medium Dispositional Use of Reappraisal Strategy,Front Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,107.0,59.0,48.0,1,107.0,,
3736548,23970941.0,10.1155/2013/946298,Pomegranate Juice Augments Memory and fMRI Activity in Middle-Aged and Older Adults with Mild Memory Complaints,Evid Based Complement Alternat Med,2013,https://creativecommons.org/licenses/by/3.0/,32.0,,,1,,,32.0
4999060,27560361.0,10.1371/journal.pone.0161181,The Role of the Subgenual Anterior Cingulate Cortex and Amygdala in Environmental Sensitivity to Infant Crying,PLoS One,2016,http://creativecommons.org/licenses/by/4.0/,102.0,,,1,,,102.0
3427359,22937055.0,10.1371/journal.pone.0043495,The Hippocampus Remains Activated over the Long Term for the Retrieval of Truly Episodic Memories,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,18.0,8.0,10.0,1,,,18.0
4879128,27252633.0,10.3389/fnbeh.2016.00102,Reduced Functional Connectivity within the Mesocorticolimbic System in Substance Use Disorders: An fMRI Study of Puerto Rican Young Adults,Front Behav Neurosci,2016,http://creativecommons.org/licenses/by/4.0/,28.0,,,1,,,28.0
6236232,30350411.0,10.1002/brb3.1103,Prenatal alcohol exposure affects brain function during place learning in a virtual environment differently in boys and girls,Brain Behav,2018,http://creativecommons.org/licenses/by/4.0/,57.0,28.0,29.0,1,,,57.0
8471665,34573260.0,10.3390/brainsci11091240,Epigenetic Mediation of AKT1 rs1130233’s Effect on Delta-9-Tetrahydrocannabinol-Induced Medial Temporal Function during Fear Processing,Brain Sci,2021,https://creativecommons.org/licenses/by/4.0/,35.0,,,1,,,35.0
6868065,31798430.0,10.3389/fnhum.2019.00390,Children With Reading Difficulty Rely on Unimodal Neural Processing for Phonemic Awareness,Front Hum Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,18.0,7.0,11.0,1,,,18.0
8791738,35096130.0,10.1155/2022/4295985,Functional Magnetic Resonance Imaging Study of Electroacupuncture Stimulating Uterine Acupoints,Comput Math Methods Med,2022,https://creativecommons.org/licenses/by/4.0/,20.0,,,1,20.0,,
7533550,33071728.0,10.3389/fnins.2020.526645,Dynamic Neural Network Changes Revealed by Voxel-Based Functional Connectivity Strength in Left Basal Ganglia Ischemic Stroke,Front Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,9.0,,,2,4.0,5.0,
3631111,23404563.0,10.3758/s13415-013-0151-0,Explicit authenticity and stimulus features interact to modulate BOLD response induced by emotional speech,Cogn Affect Behav Neurosci,2013,https://creativecommons.org/licenses/by-nc/2.0/,18.0,,,1,,,18.0
4872412,27115120.0,10.1038/tp.2016.54,Subgenual cingulate cortical activity predicts the efficacy of electroconvulsive therapy,Transl Psychiatry,2016,http://creativecommons.org/licenses/by/4.0/,26.0,,,2,10.0,16.0,
6905409,31866850.0,10.3389/fnagi.2019.00326,Altered Directed Functional Connectivity of the Hippocampus in Mild Cognitive Impairment and Alzheimer’s Disease: A Resting-State fMRI Study,Front Aging Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,30.0,,,1,30.0,,
5090005,27853427.0,10.3389/fnhum.2016.00552,Prediction of Biological Motion Perception Performance from Intrinsic Brain Network Regional Efficiency,Front Hum Neurosci,2016,http://creativecommons.org/licenses/by/4.0/,24.0,13.0,11.0,1,24.0,,
3590243,23526961.0,10.1371/journal.pone.0057978,Altered Regional Homogeneity in Pediatric Bipolar Disorder during Manic State: A Resting-State fMRI Study,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,30.0,,,2,15.0,15.0,
8222619,34177454.0,10.3389/fnins.2021.677823,The Effects of rs405509 on APOEε4 Non-carriers in Non-demented Aging,Front Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,79.0,,,1,,,79.0
4276016,25540682.0,10.1186/s13587-014-0014-5,Resting state amygdala-prefrontal connectivity predicts symptom change after cognitive behavioral therapy in generalized social anxiety disorder,Biol Mood Anxiety Disord,2014,http://creativecommons.org/licenses/by/4.0,21.0,14.0,7.0,1,,,21.0
4085720,25071576.0,10.3389/fphar.2014.00158,Open label smoking cessation with varenicline is associated with decreased glutamate levels and functional changes in anterior cingulate cortex: preliminary findings,Front Pharmacol,2014,http://creativecommons.org/licenses/by/3.0/,22.0,,,1,,,22.0
3608942,23448192.0,10.1186/2045-5380-3-5,Is there less to social anxiety than meets the eye? Behavioral and neural responses to three socio-emotional tasks,Biol Mood Anxiety Disord,2013,http://creativecommons.org/licenses/by/2.0,95.0,,,2,28.0,67.0,
6420474,30535758.0,10.1007/s00429-018-1810-2,A SENtence Supramodal Areas AtlaS (SENSAAS) based on multiple task-induced activation mapping and graph analysis of intrinsic connectivity in 144 healthy right-handers,Brain Struct Funct,2018,http://creativecommons.org/licenses/by/4.0/,138.0,,,1,,,138.0
8119860,33662187.0,10.1002/brb3.2005,How biopsychosocial depressive risk shapes behavioral and neural responses to social evaluation in adolescence,Brain Behav,2021,https://creativecommons.org/licenses/by/4.0/,31.0,,,1,,,31.0
7267954,31794150.0,10.1002/hbm.24883,Reliability of a functional magnetic resonance imaging task of emotional conflict in healthy participants,Hum Brain Mapp,2019,http://creativecommons.org/licenses/by/4.0/,36.0,,,1,,,36.0
3428632,22930669.0,10.2174/1874440001206010069,Is 1 Hz rTMS Always Inhibitory in Healthy Individuals?,Open Neuroimag J,2012,http://creativecommons.org/licenses/by-nc/3.0/,10.0,2.0,8.0,1,10.0,,
4692512,26520774.0,10.1016/j.neuroimage.2015.10.067,Neural signals encoding shifts in beliefs,Neuroimage,2016,http://creativecommons.org/licenses/by/4.0/,27.0,16.0,11.0,1,,,27.0
8553174,34710149.0,10.1371/journal.pone.0258884,The obedient mind and the volitional brain: A neural basis for preserved sense of agency and sense of responsibility under coercion,PLoS One,2021,https://creativecommons.org/licenses/by/4.0/,10.0,,,1,,,10.0
8419258,34497495.0,10.3389/fnbeh.2021.657517,Sex Differences in the Blood Oxygen Level-Dependent Signal to Placebo Analgesia and Nocebo Hyperalgesia in Experimental Pain: A Functional MRI Study,Front Behav Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
5999593,29900481.0,10.1186/s13550-018-0406-4,Histamine H3 receptor density is negatively correlated with neural activity related to working memory in humans,EJNMMI Res,2018,http://creativecommons.org/licenses/by/4.0/,10.0,,,1,10.0,,
4401774,25885897.0,10.1371/journal.pone.0123850,Frequency-Dependent Changes in the Regional Amplitude and Synchronization of Resting-State Functional MRI in Stroke,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/,34.0,,,2,15.0,19.0,
