pmcid,n_participants
3741391,
8152848,34.0
4773387,24.0
3587882,
5066828,
3885617,26.0
3487908,52.0
6304436,68.0
3778258,
4330549,
6901178,
4841538,
8844611,40.0
5167221,
4589806,22.0
4299952,57.0
7177590,88.0
5390838,238.0
3464709,19.0
3282900,40.0
8096430,59.0
2518922,24.0
7759590,155.0
3345361,
4221616,14.0
3447818,
4096999,
4011948,
5030331,
6051673,13.0
3561664,
4556667,13.0
4159995,
4061791,
8413787,18.0
3923150,
5835354,
5893717,36.0
4949632,1206.0
3984447,47.0
4215471,32.0
8062740,
2911396,17.0
4240192,
3555868,2.0
7921457,31.0
4687299,38.0
7031677,170.0
3586479,
6558200,45.0
3309293,
4824756,
4576412,
7294056,
7728610,40.0
4353194,
2944888,13.0
4469651,
4019508,29.0
3896989,50.0
3755273,17.0
5933734,
4731490,39.0
5707237,44.0
6934088,27.0
3871655,20.0
7511868,35.0
4640353,105.0
5127572,
8413803,
8825403,22.0
3534243,30.0
5826250,24.0
3847124,12.0
7814772,32.0
4899470,9.0
6302056,26.0
8755760,
8786954,151.0
6411589,
5859072,45.0
5216041,
1698492,12.0
3930118,41.0
5116051,12.0
3922109,
3705175,16.0
5962703,
8245688,825.0
6132644,74.0
3777707,29.0
5490670,
7746800,46.0
4080327,16.0
3094760,
4393246,26.0
3115646,12.0
3869791,27.0
7758505,
5805503,19.0
6718659,
5668033,37.0
5700408,33.0
6356791,
3950074,19.0
5509143,16.0
3116735,60.0
8636113,
4144342,16.0
4107379,19.0
6929567,
5548820,24.0
4923151,4.0
3339027,
5574908,
7203484,
5354342,20.0
5101630,
2908128,13.0
7396649,41.0
5613132,63.0
5740787,27.0
4893013,16.0
2722906,
3014651,21.0
3126799,9.0
6319771,
4536207,
6462777,90.0
7666620,12.0
5874055,
6333399,
6243115,30.0
8674725,
6995256,
4517759,16.0
2198945,24.0
4959711,
7545617,26.0
5294576,2.0
5433384,54.0
3796073,68.0
4596753,34.0
7336154,
3840299,22.0
6329519,
6345498,
4216410,
2577939,25.0
4511829,
7927307,
4522675,36.0
5520823,32.0
6469882,
5838223,91.0
7882165,
2797630,14.0
4564758,
5624934,14.0
2936906,19.0
3727078,6.0
3506032,
5500565,
4552813,43.0
4905637,15.0
2784680,32.0
6790316,
2784679,
3608908,
3999100,
4858518,16.0
5842548,50.0
3499497,16.0
5003890,15.0
4102486,9.0
4539697,66.0
3796455,24.0
3082218,
4746244,
3613753,79.0
6306453,41.0
3625914,
4771946,16.0
3216937,12.0
4414648,
5214227,16.0
3344896,38.0
3158432,10.0
3385211,24.0
4610202,
3979724,12.0
3330757,
4900504,7.0
6305346,32.0
7959215,53.0
3055886,27.0
7487866,43.0
3547007,42.0
7710969,8.0
3110306,
8744903,39.0
3420898,2.0
4010785,25.0
4488594,
3278706,
6292957,
